path,provenance,source_modified_at_sydney,package_modified_at_sydney,snapshot_at_sydney,size_bytes,sha256
sound_design/README.md,Mac source snapshot,2026-09-23T21:07:47+10:00,2026-09-23T21:07:47+10:00,2026-09-25T19:44:20+10:00,1984,7c81be5c4c91564157862e1e65f65e683f33180b9f16fe016aa0b415ccfc8ce9
sound_design/audio_stimulus_design_v1.md,Mac source snapshot,2026-09-18T18:21:45+10:00,2026-09-18T18:21:45+10:00,2026-09-25T19:44:20+10:00,8095,4f6dfd584522cd169800777d3155e240de3900f1617a7b321f9669926d9883bf
sound_design/azure_speech_v1/README.md,Mac source snapshot,2026-09-18T18:21:45+10:00,2026-09-18T18:21:45+10:00,2026-09-25T19:44:20+10:00,738,be32efb20e72d95dc05341ee8b9fa35109642905dc5bf1999ea0e2a8500f2732
sound_design/azure_speech_v1/T01_CruiseEntry.ssml,Mac source snapshot,2026-09-18T18:21:45+10:00,2026-09-18T18:21:45+10:00,2026-09-25T19:44:20+10:00,178,c44bfa5dbb328926ae98521aa80097749ad270e2242ed3fde300657d026677b7
sound_design/azure_speech_v1/T02_DescentBegin.ssml,Mac source snapshot,2026-09-18T18:21:45+10:00,2026-09-18T18:21:45+10:00,2026-09-25T19:44:20+10:00,179,ee0e2043a5bea688d9b06e60f2367d695bcb3c749e35c445363a350ef945f385
sound_design/azure_speech_v1/T03_LandingPreparation.ssml,Mac source snapshot,2026-09-18T18:21:45+10:00,2026-09-18T18:21:45+10:00,2026-09-25T19:44:20+10:00,172,fc29a592cccfb9b8fd3e3a114466d7582962611897c9ef0c8d92bd136fd08159
sound_design/azure_speech_v1/generate_azure_speech_v1.sh,Mac source snapshot,2026-09-18T18:22:02+10:00,2026-09-18T18:22:02+10:00,2026-09-25T19:44:20+10:00,1891,9258d6c7381201fd9421b598fc49667dc47be6f1146b66d07545bd730439a24c
sound_design/candidate_families_v1/README.md,Mac source snapshot,2026-09-23T19:13:54+10:00,2026-09-23T19:13:54+10:00,2026-09-25T19:44:20+10:00,4027,2a08f864007b2f43543bc6c6ac488a464642842ea8277001d8945dbcde0db7a9
sound_design/candidate_families_v1/analyze_candidate_families.py,Mac source snapshot,2026-09-19T13:18:07+10:00,2026-09-19T13:18:07+10:00,2026-09-25T19:44:20+10:00,2350,d7e295fd3aa57de3b1c42ad9f85d7c6d61b51f72aeae6f2d2562cd6b59ffbf60
sound_design/candidate_families_v1/audition.html,Mac source snapshot,2026-09-19T13:20:58+10:00,2026-09-19T13:20:58+10:00,2026-09-25T19:44:20+10:00,5007,745c3600585be85a38626e5ffb8cff64f62ed4409446800bcf0f34fc2f40a805
sound_design/candidate_families_v1/brightness/T01_cruise_entry.wav,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,119114,d4b4830e7c341fc932ee5b056c3637a47615b2f3b708e6b9653a0f3740fe6347
sound_design/candidate_families_v1/brightness/T02_descent_begin.wav,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,119114,b65090e06141393157778643fd3d099dabc9765a3066f2bc1208f15e8270cd3b
sound_design/candidate_families_v1/brightness/T03_landing_preparation.wav,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,119114,d1df1e15e11a5723d49e7085e3cda398b8a0ac41147e14a3293743a8e0819362
sound_design/candidate_families_v1/candidate_analysis.json,Mac source snapshot,2026-09-19T13:21:48+10:00,2026-09-19T13:21:48+10:00,2026-09-25T19:44:20+10:00,4180,ec4ea4e98cab57b4738f9dd2b910b9c63b7cd0f149780a54bd79b9d20f33dad3
sound_design/candidate_families_v1/candidate_manifest.txt,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,219,95cc20ffa42ad923e6268da7f0215f8b90060d03d81f0694bd7c187d4178cedb
sound_design/candidate_families_v1/contour/T01_cruise_entry.wav,Mac source snapshot,2026-09-19T13:18:37+10:00,2026-09-19T13:18:37+10:00,2026-09-25T19:44:20+10:00,119114,f71ca54e29d8b37bccb78028c25883726baf53714dd24a006c586f92f459f63f
sound_design/candidate_families_v1/contour/T02_descent_begin.wav,Mac source snapshot,2026-09-19T13:18:37+10:00,2026-09-19T13:18:37+10:00,2026-09-25T19:44:20+10:00,119114,ee0a447c77d27bfa98fe0eb42c3297216ca608225ebdd663fa3c14af81435dcd
sound_design/candidate_families_v1/contour/T03_landing_preparation.wav,Mac source snapshot,2026-09-19T13:18:37+10:00,2026-09-19T13:18:37+10:00,2026-09-25T19:44:20+10:00,119114,fde8e8ffe2e5b7e9662f28d5e2a8f29813a9d91955f46110fc5d5306d333edd0
sound_design/candidate_families_v1/generate_candidate_families.py,Mac source snapshot,2026-09-19T13:18:30+10:00,2026-09-19T13:18:30+10:00,2026-09-25T19:44:20+10:00,5408,7cc2af60fd9a4a856dc31219c8328f8858527647c8cef1e613ce7f6cec38229b
sound_design/candidate_families_v1/interval/T01_cruise_entry.wav,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,119114,c5aab79a1cdbcf4dd2eab3ffbac3255cc4d45ac08af5259d9c0cd16409b0bb2f
sound_design/candidate_families_v1/interval/T02_descent_begin.wav,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,119114,1880f874e749119eb9cc5928f65c3ee3dd50601c76b964cc77eac70fcc7fd7c2
sound_design/candidate_families_v1/interval/T03_landing_preparation.wav,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,119114,9c293a8baa52eb270d3741eba281a87f9146ba198b9d24408d1187b362a54e33
sound_design/candidate_families_v1/rhythm/T01_cruise_entry.wav,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,119114,d4db66bc24b8d7e0786ccfece01e2c184542acab01634e41a4c68c43449397c3
sound_design/candidate_families_v1/rhythm/T02_descent_begin.wav,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,119114,72f9fc1f5e9d5714b21fd6caa27a016e59733cab23d04c0cba517398b7e4ad7c
sound_design/candidate_families_v1/rhythm/T03_landing_preparation.wav,Mac source snapshot,2026-09-19T13:18:38+10:00,2026-09-19T13:18:38+10:00,2026-09-25T19:44:20+10:00,119114,2f6596d739f374d187c2a280c64c6ae19dba166cf69b47aaaef9713dce375a9d
sound_design/contour_soft_screening_v1/C0_current_contour/T01_cruise_entry.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,f71ca54e29d8b37bccb78028c25883726baf53714dd24a006c586f92f459f63f
sound_design/contour_soft_screening_v1/C0_current_contour/T02_descent_begin.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,ee0a447c77d27bfa98fe0eb42c3297216ca608225ebdd663fa3c14af81435dcd
sound_design/contour_soft_screening_v1/C0_current_contour/T03_landing_preparation.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,fde8e8ffe2e5b7e9662f28d5e2a8f29813a9d91955f46110fc5d5306d333edd0
sound_design/contour_soft_screening_v1/C1_no_late_tick/T01_cruise_entry.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,f71ca54e29d8b37bccb78028c25883726baf53714dd24a006c586f92f459f63f
sound_design/contour_soft_screening_v1/C1_no_late_tick/T02_descent_begin.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,ee0a447c77d27bfa98fe0eb42c3297216ca608225ebdd663fa3c14af81435dcd
sound_design/contour_soft_screening_v1/C1_no_late_tick/T03_landing_preparation.wav,Mac source snapshot,2026-09-20T20:31:01+10:00,2026-09-20T20:31:01+10:00,2026-09-25T19:44:20+10:00,119114,865dae8e3e38d2010a0004d84ec427193f847fc195ddc53a6b2cad72bafa920d
